date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-12-11 00:00:00,28,22,0.0,8.7,7,99,05:06 PM,05:21 AM,06:24 AM,05:42 PM,20,25,25,23,9,32,83,0.0,1012,23,10,86,5,nellore
2019-12-11 03:00:00,28,22,0.0,8.7,7,99,05:06 PM,05:21 AM,06:24 AM,05:42 PM,20,22,25,22,5,6,87,0.0,1012,22,10,65,3,nellore
2019-12-11 06:00:00,28,22,0.0,8.7,7,99,05:06 PM,05:21 AM,06:24 AM,05:42 PM,20,28,28,26,3,1,72,0.0,1015,26,10,66,2,nellore
2019-12-11 09:00:00,28,22,0.0,8.7,7,99,05:06 PM,05:21 AM,06:24 AM,05:42 PM,17,29,29,28,8,0,51,0.0,1014,28,10,49,7,nellore
2019-12-11 12:00:00,28,22,0.0,8.7,7,99,05:06 PM,05:21 AM,06:24 AM,05:42 PM,18,29,29,28,18,3,56,0.0,1011,28,10,67,15,nellore
2019-12-11 15:00:00,28,22,0.0,8.7,7,99,05:06 PM,05:21 AM,06:24 AM,05:42 PM,20,26,26,25,20,17,74,0.0,1011,25,10,67,15,nellore
2019-12-11 18:00:00,28,22,0.0,8.7,7,99,05:06 PM,05:21 AM,06:24 AM,05:42 PM,20,26,26,24,19,30,78,0.0,1013,24,10,71,12,nellore
2019-12-11 21:00:00,28,22,0.0,8.7,7,99,05:06 PM,05:21 AM,06:24 AM,05:42 PM,19,25,25,23,18,38,79,0.0,1013,23,10,81,10,nellore
2019-12-12 00:00:00,28,22,0.0,8.7,7,100,05:57 PM,06:16 AM,06:25 AM,05:43 PM,19,25,25,23,14,52,81,0.0,1012,23,10,88,8,nellore
2019-12-12 03:00:00,28,22,0.0,8.7,7,100,05:57 PM,06:16 AM,06:25 AM,05:43 PM,19,25,25,22,14,38,83,0.0,1012,22,10,94,8,nellore
2019-12-12 06:00:00,28,22,0.0,8.7,7,100,05:57 PM,06:16 AM,06:25 AM,05:43 PM,20,27,27,25,15,48,74,0.0,1015,25,10,100,9,nellore
2019-12-12 09:00:00,28,22,0.0,8.7,7,100,05:57 PM,06:16 AM,06:25 AM,05:43 PM,20,30,30,28,19,32,60,0.0,1013,28,10,92,15,nellore
2019-12-12 12:00:00,28,22,0.0,8.7,7,100,05:57 PM,06:16 AM,06:25 AM,05:43 PM,20,29,29,28,21,32,61,0.0,1011,28,10,86,18,nellore
2019-12-12 15:00:00,28,22,0.0,8.7,7,100,05:57 PM,06:16 AM,06:25 AM,05:43 PM,20,27,27,25,21,21,75,0.0,1011,25,10,84,17,nellore
2019-12-12 18:00:00,28,22,0.0,8.7,7,100,05:57 PM,06:16 AM,06:25 AM,05:43 PM,20,26,26,24,21,16,79,0.0,1014,24,10,84,13,nellore
2019-12-12 21:00:00,28,22,0.0,8.7,7,100,05:57 PM,06:16 AM,06:25 AM,05:43 PM,20,26,26,24,22,23,82,0.0,1014,24,10,95,12,nellore
2019-12-13 00:00:00,28,23,0.0,7.2,7,87,06:52 PM,07:14 AM,06:25 AM,05:43 PM,21,25,25,23,12,50,88,0.1,1012,23,10,92,6,nellore
